Last raw reading: 142	Time since start: 5023microseconds
Last raw reading: 69	Time since start: 10017microseconds
Last raw reading: 144	Time since start: 15016microseconds
Last raw reading: 335	Time since start: 20016microseconds
Last raw reading: 704	Time since start: 25016microseconds
Last raw reading: 435	Time since start: 30016microseconds
Last raw reading: 134	Time since start: 35016microseconds
Last raw reading: 68	Time since start: 40016microseconds
Last raw reading: 436	Time since start: 45016microseconds
Last raw reading: 213	Time since start: 50016microseconds
Last raw reading: 76	Time since start: 55016microseconds
Last raw reading: 702	Time since start: 60016microseconds
Last raw reading: 489	Time since start: 65016microseconds
Last raw reading: 483	Time since start: 70016microseconds
Last raw reading: 323	Time since start: 75016microseconds
Last raw reading: 107	Time since start: 80016microseconds
Last raw reading: 85	Time since start: 85016microseconds
Last raw reading: 186	Time since start: 90016microseconds
Last raw reading: 671	Time since start: 95016microseconds
Last raw reading: 676	Time since start: 100016microseconds
Last raw reading: 244	Time since start: 105016microseconds
Last raw reading: 80	Time since start: 110016microseconds
Last raw reading: 27	Time since start: 115016microseconds
Last raw reading: 70	Time since start: 120016microseconds
Last raw reading: 750	Time since start: 125016microseconds
Last raw reading: 473	Time since start: 130017microseconds
Last raw reading: 131	Time since start: 135016microseconds
Last raw reading: 145	Time since start: 140016microseconds
Last raw reading: 765	Time since start: 145017microseconds
Last raw reading: 533	Time since start: 150017microseconds
Last raw reading: 161	Time since start: 155017microseconds
Last raw reading: 282	Time since start: 160017microseconds
Last raw reading: 272	Time since start: 165017microseconds
Last raw reading: 461	Time since start: 170017microseconds
Last raw reading: 509	Time since start: 175017microseconds
Last raw reading: 367	Time since start: 180017microseconds
Last raw reading: 109	Time since start: 185017microseconds
Last raw reading: 35	Time since start: 190017microseconds
Last raw reading: 301	Time since start: 195017microseconds
Last raw reading: 460	Time since start: 200017microseconds
Last raw reading: 591	Time since start: 205017microseconds
Last raw reading: 567	Time since start: 210017microseconds
Last raw reading: 436	Time since start: 215017microseconds
Last raw reading: 392	Time since start: 220017microseconds
Last raw reading: 240	Time since start: 225017microseconds
Last raw reading: 71	Time since start: 230017microseconds
Last raw reading: 414	Time since start: 235017microseconds
Last raw reading: 539	Time since start: 240017microseconds
Last raw reading: 495	Time since start: 245017microseconds
Last raw reading: 470	Time since start: 250017microseconds
Last raw reading: 450	Time since start: 255017microseconds
Last raw reading: 402	Time since start: 260017microseconds
Last raw reading: 190	Time since start: 265017microseconds
Last raw reading: 141	Time since start: 270017microseconds
Last raw reading: 771	Time since start: 275017microseconds
Last raw reading: 759	Time since start: 280017microseconds
Last raw reading: 616	Time since start: 285017microseconds
Last raw reading: 446	Time since start: 290017microseconds
Last raw reading: 373	Time since start: 295017microseconds
Last raw reading: 409	Time since start: 300018microseconds
Last raw reading: 519	Time since start: 305018microseconds
Last raw reading: 488	Time since start: 310018microseconds
Last raw reading: 512	Time since start: 315018microseconds
Last raw reading: 505	Time since start: 320018microseconds
Last raw reading: 467	Time since start: 325018microseconds
Last raw reading: 461	Time since start: 330018microseconds
Last raw reading: 512	Time since start: 335018microseconds
Last raw reading: 507	Time since start: 340018microseconds
Last raw reading: 485	Time since start: 345018microseconds
Last raw reading: 496	Time since start: 350018microseconds
Last raw reading: 437	Time since start: 355018microseconds
Last raw reading: 606	Time since start: 360018microseconds
Last raw reading: 651	Time since start: 365018microseconds
Last raw reading: 631	Time since start: 370018microseconds
Last raw reading: 645	Time since start: 375018microseconds
Last raw reading: 648	Time since start: 380018microseconds
Last raw reading: 622	Time since start: 385018microseconds
Last raw reading: 676	Time since start: 390018microseconds
Last raw reading: 711	Time since start: 395018microseconds
Last raw reading: 757	Time since start: 400018microseconds
Last raw reading: 804	Time since start: 405018microseconds
Last raw reading: 828	Time since start: 410018microseconds
Last raw reading: 877	Time since start: 415018microseconds
Last raw reading: 861	Time since start: 420018microseconds
Last raw reading: 870	Time since start: 425018microseconds
Last raw reading: 867	Time since start: 430018microseconds
Last raw reading: 871	Time since start: 435018microseconds
Last raw reading: 891	Time since start: 440018microseconds
Last raw reading: 871	Time since start: 445018microseconds
Last raw reading: 717	Time since start: 450018microseconds
Last raw reading: 856	Time since start: 455018microseconds
Last raw reading: 832	Time since start: 460019microseconds
Last raw reading: 904	Time since start: 465018microseconds
Last raw reading: 918	Time since start: 470019microseconds
Last raw reading: 773	Time since start: 475019microseconds
Last raw reading: 858	Time since start: 480019microseconds
Last raw reading: 798	Time since start: 485019microseconds
Last raw reading: 836	Time since start: 490019microseconds
Last raw reading: 813	Time since start: 495019microseconds
Last raw reading: 656	Time since start: 500019microseconds
Last raw reading: 708	Time since start: 505019microseconds
Last raw reading: 761	Time since start: 510019microseconds
Last raw reading: 894	Time since start: 515019microseconds
Last raw reading: 964	Time since start: 520019microseconds
Last raw reading: 896	Time since start: 525019microseconds
Last raw reading: 779	Time since start: 530019microseconds
Last raw reading: 699	Time since start: 535019microseconds
Last raw reading: 605	Time since start: 540019microseconds
Last raw reading: 837	Time since start: 545019microseconds
Last raw reading: 814	Time since start: 550019microseconds
Last raw reading: 829	Time since start: 555019microseconds
Last raw reading: 759	Time since start: 560019microseconds
Last raw reading: 727	Time since start: 565019microseconds
Last raw reading: 747	Time since start: 570019microseconds
Last raw reading: 673	Time since start: 575019microseconds
Last raw reading: 641	Time since start: 580019microseconds
Last raw reading: 678	Time since start: 585019microseconds
Last raw reading: 661	Time since start: 590019microseconds
Last raw reading: 569	Time since start: 595019microseconds
Last raw reading: 544	Time since start: 600019microseconds
Last raw reading: 596	Time since start: 605019microseconds
Last raw reading: 566	Time since start: 610019microseconds
Last raw reading: 551	Time since start: 615020microseconds
Last raw reading: 369	Time since start: 620020microseconds
Last raw reading: 128	Time since start: 625019microseconds
Last raw reading: 53	Time since start: 630020microseconds
Last raw reading: 604	Time since start: 635020microseconds
Last raw reading: 862	Time since start: 640020microseconds
Last raw reading: 820	Time since start: 645020microseconds
Last raw reading: 751	Time since start: 650020microseconds
Last raw reading: 530	Time since start: 655020microseconds
Last raw reading: 213	Time since start: 660020microseconds
Last raw reading: 65	Time since start: 665020microseconds
Last raw reading: 436	Time since start: 670020microseconds
Last raw reading: 845	Time since start: 675020microseconds
Last raw reading: 862	Time since start: 680020microseconds
Last raw reading: 629	Time since start: 685020microseconds
Last raw reading: 334	Time since start: 690020microseconds
Last raw reading: 100	Time since start: 695020microseconds
Last raw reading: 294	Time since start: 700020microseconds
Last raw reading: 808	Time since start: 705020microseconds
Last raw reading: 706	Time since start: 710020microseconds
Last raw reading: 200	Time since start: 715020microseconds
Last raw reading: 61	Time since start: 720020microseconds
Last raw reading: 176	Time since start: 725020microseconds
